benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
SADD    195.583       83.750
SADD    198.655       85.000
SADD    201.727       86.250
SADD    205.823       87.500
SADD    207.871       88.125
SADD    209.919       88.750
SADD    212.991       89.375
SADD    215.039       90.000
SADD    218.111       90.625
SADD    220.159       91.250
SADD    223.231       91.875
SADD    226.303       92.500
SADD    230.399       93.125
SADD    233.471       93.750
SADD    235.519       94.062
SADD    237.567       94.375
SADD    240.639       94.688
SADD    242.687       95.000
SADD    244.735       95.312
SADD    247.807       95.625
SADD    250.879       95.938
SADD    253.951       96.250
SADD    257.023       96.562
SADD    261.119       96.875
SADD    262.143       97.031
SADD    264.191       97.188
SADD    266.239       97.344
SADD    270.335       97.500
SADD    272.383       97.656
SADD    274.431       97.812
SADD    276.479       97.969
SADD    280.575       98.125
SADD    282.623       98.281
SADD    286.719       98.438
SADD    288.767       98.516
SADD    290.815       98.594
SADD    294.911       98.672
SADD    296.959       98.750
SADD    299.007       98.828
SADD    301.055       98.906
SADD    305.151       98.984
SADD    307.199       99.062
SADD    311.295       99.141
SADD    315.391       99.219
SADD    315.391       99.258
SADD    319.487       99.297
SADD    321.535       99.336
SADD    323.583       99.375
SADD    325.631       99.414
SADD    329.727       99.453
SADD    331.775       99.492
SADD    335.871       99.531
SADD    339.967       99.570
SADD    344.063       99.609
SADD    346.111       99.629
SADD    348.159       99.648
SADD    350.207       99.668
SADD    354.303       99.688
SADD    356.351       99.707
SADD    360.447       99.727
SADD    362.495       99.746
SADD    364.543       99.766
SADD    370.687       99.785
SADD    374.783       99.805
SADD    376.831       99.814
SADD    378.879       99.824
SADD    380.927       99.834
SADD    385.023       99.844
SADD    387.071       99.854
SADD    389.119       99.863
SADD    391.167       99.873
SADD    395.263       99.883
SADD    399.359       99.893
SADD    403.455       99.902
SADD    405.503       99.907
SADD    407.551       99.912
SADD    411.647       99.917
SADD    413.695       99.922
SADD    417.791       99.927
