benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
ZADD   1036.287       99.994
ZADD   1036.287       99.995
ZADD   1040.383       99.995
ZADD   1040.383       99.995
ZADD   1040.383       99.995
ZADD   1044.479       99.996
ZADD   1044.479       99.996
ZADD   1044.479       99.996
ZADD   1044.479       99.997
ZADD   1044.479       99.997
ZADD   1044.479       99.997
ZADD   1044.479       99.997
ZADD   1044.479       99.997
ZADD   1044.479       99.998
ZADD   1044.479       99.998
ZADD   1048.575       99.998
ZADD   1048.575      100.000
---
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
==================================================================================================
Type         Ops/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------
Sadds        6856.88       145.86921       139.26300       307.19900       395.26300     13984.92 
Totals       6856.88       145.86921       139.26300       307.19900       395.26300     13984.92 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SADD      3.615        0.000
SADD     72.703        5.000
SADD     84.479       10.000
SADD     93.695       15.000
SADD    101.375       20.000
SADD    108.031       25.000
SADD    114.687       30.000
SADD    120.831       35.000
SADD    126.975       40.000
SADD    133.119       45.000
SADD    139.263       50.000
SADD    142.335       52.500
SADD    145.407       55.000
SADD    148.479       57.500
SADD    152.575       60.000
SADD    155.647       62.500
SADD    159.743       65.000
SADD    162.815       67.500
SADD    166.911       70.000
SADD    171.007       72.500
SADD    176.127       75.000
SADD    178.175       76.250
SADD    181.247       77.500
SADD    183.295       78.750
SADD    186.367       80.000
SADD    189.439       81.250
SADD    192.511       82.500
SADD    195.583       83.750
SADD    198.655       85.000
SADD    202.751       86.250
SADD    206.847       87.500
SADD    208.895       88.125
SADD    211.967       88.750
SADD    214.015       89.375
SADD    217.087       90.000
SADD    220.159       90.625
SADD    223.231       91.250
SADD    226.303       91.875
SADD    229.375       92.500
SADD    232.447       93.125
SADD    236.543       93.750
SADD    238.591       94.062
SADD    240.639       94.375
SADD    242.687       94.688
SADD    245.759       95.000
SADD    247.807       95.312
SADD    249.855       95.625
SADD    252.927       95.938
SADD    255.999       96.250
SADD    259.071       96.562
SADD    264.191       96.875
SADD    264.191       97.031
SADD    268.287       97.188
SADD    270.335       97.344
SADD    272.383       97.500
SADD    274.431       97.656
SADD    276.479       97.812
SADD    280.575       97.969
SADD    282.623       98.125
SADD    284.671       98.281
SADD    288.767       98.438
SADD    290.815       98.516
SADD    294.911       98.594
SADD    296.959       98.672
SADD    299.007       98.750
SADD    301.055       98.828
SADD    303.103       98.906
SADD    307.199       98.984
SADD    311.295       99.062
SADD    313.343       99.141
SADD    317.439       99.219
SADD    319.487       99.258
SADD    321.535       99.297
SADD    323.583       99.336
SADD    325.631       99.375
SADD    329.727       99.414
SADD    331.775       99.453
SADD    333.823       99.492
SADD    335.871       99.531
SADD    339.967       99.570
SADD    344.063       99.609
SADD    346.111       99.629
SADD    348.159       99.648
SADD    350.207       99.668
SADD    354.303       99.688
SADD    356.351       99.707
SADD    358.399       99.727
SADD    362.495       99.746
SADD    364.543       99.766
SADD    368.639       99.785
SADD    372.735       99.805
SADD    374.783       99.814
SADD    376.831       99.824
SADD    378.879       99.834
SADD    380.927       99.844
SADD    382.975       99.854
SADD    385.023       99.863
SADD    389.119       99.873
SADD    391.167       99.883
SADD    393.215       99.893
SADD    397.311       99.902
SADD    397.311       99.907
SADD    399.359       99.912
SADD    401.407       99.917
SADD    403.455       99.922
SADD    405.503       99.927
SADD    407.551       99.932
SADD    409.599       99.937
SADD    413.695       99.941
SADD    415.743       99.946
SADD    417.791       99.951
SADD    421.887       99.954
SADD    423.935       99.956
SADD    425.983       99.958
SADD    428.031       99.961
SADD    430.079       99.963
SADD    434.175       99.966
SADD    438.271       99.968
SADD    442.367       99.971
SADD    444.415       99.973
SADD    448.511       99.976
SADD    448.511       99.977
SADD    450.559       99.978
SADD    452.607       99.979
SADD    452.607       99.980
SADD    454.655       99.982
SADD    456.703       99.983
SADD    456.703       99.984
SADD    458.751       99.985
SADD    460.799       99.987
SADD    462.847       99.988
SADD    464.895       99.988
SADD    468.991       99.989
SADD    471.039       99.990
SADD    471.039       99.990
SADD    473.087       99.991
SADD    475.135       99.991
SADD    477.183       99.992
SADD    479.231       99.993
SADD    479.231       99.993
SADD    483.327       99.994
SADD    485.375       99.994
SADD    489.471       99.995
SADD    491.519       99.995
SADD    495.615       99.995
